,hasLocation,hasKeyword,tweetNumberOfChars,numberOfWords,numEx,numAt,numHash,numQ,numPeriod,numComma,numLinks,numPunc,avgCharsPerWord,numNumericTweet,numLettersTweet,numUpperTweet,numVowelsTweet,numConsonantsTweet,numNouns,numVerbs,numPrep,numAdj,numAdv,sentimentText,sentimentVader,target
0,0,0,69,13,0,0,1,0,0,0,0,1,4.384615384615385,0,56,10,25,31,6,1,1,0,0,0.0,0.2732,1
1,0,0,38,7,1,0,0,0,0,0,0,1,4.571428571428571,0,31,5,13,18,6,0,1,0,0,0.1,-0.34,1
2,0,0,133,22,1,0,0,0,0,0,0,1,5.090909090909091,0,109,2,45,64,8,7,3,1,0,-0.018750000000000003,-0.296,1
3,0,0,65,8,0,0,1,0,0,0,1,2,7.125,5,50,1,24,26,5,0,1,1,0,0.0,0.0,1
4,0,0,88,16,0,0,2,0,0,0,0,2,4.5,0,70,3,25,45,6,3,4,0,0,0.0,0.0,1
5,0,0,110,18,1,0,3,0,0,0,0,4,5.166666666666667,2,84,9,34,50,11,1,1,1,0,-0.1125,-0.34,1
6,0,0,95,14,0,0,2,0,0,0,1,3,5.857142857142857,0,79,4,32,47,10,1,2,1,0,-0.2,-0.6249,1
7,0,0,59,15,3,0,0,0,0,0,0,3,3.0,0,41,2,18,23,5,1,3,0,0,0.5,-0.1531,1
8,0,0,79,12,0,0,0,0,0,0,0,0,5.666666666666667,0,67,1,26,41,5,1,2,0,0,0.0,-0.3818,1
9,0,0,52,10,3,0,0,0,0,0,0,3,4.3,0,39,1,18,21,3,3,1,0,0,-0.6,0.0,1
10,0,0,43,9,0,0,0,0,0,0,0,0,3.888888888888889,0,35,1,15,20,2,2,1,0,0,0.1,-0.5574,1
11,0,0,129,27,0,0,1,0,0,0,0,1,3.814814814814815,0,101,63,41,60,17,6,0,1,0,0.11212121212121212,0.4588,1
12,0,0,76,12,1,0,5,0,0,0,0,6,5.333333333333333,4,53,5,21,32,5,3,0,1,0,0.0,-0.3182,1
13,0,0,39,7,0,0,2,0,0,0,0,2,4.714285714285714,0,31,5,13,18,5,1,1,0,0,0.0,0.0,1
14,0,0,56,11,0,0,1,0,0,0,0,1,4.090909090909091,2,42,9,16,26,7,0,2,0,0,0.0,-0.7096,1
15,0,0,14,3,0,1,0,0,0,0,0,1,4.0,0,10,1,3,7,2,0,0,0,0,0.0,0.0,0
16,0,0,13,3,0,0,0,0,0,0,0,0,3.6666666666666665,0,11,1,5,6,1,1,0,0,0,0.5,0.6369,0
17,0,0,16,3,0,0,0,0,0,0,0,0,4.666666666666667,0,14,1,5,9,1,1,0,0,0,0.5,0.5859,0
18,0,0,17,5,0,0,0,0,0,0,0,0,2.6,0,13,1,4,9,1,1,0,1,0,0.2,0.0,0
19,0,0,28,3,0,0,0,0,6,0,0,6,8.666666666666666,0,20,1,15,5,1,0,0,0,0,0.0,0.0,0
20,0,0,22,3,4,0,0,0,0,0,0,4,6.666666666666667,0,16,0,7,9,0,1,0,1,0,-0.3333333333333333,-0.3612,0
21,0,0,17,4,0,0,0,0,0,0,0,0,3.5,0,12,1,5,7,2,1,0,1,0,0.3,0.4939,0
22,0,0,11,2,0,0,0,0,0,0,0,0,5.0,0,10,1,4,6,2,0,0,0,0,0.5,0.6369,0
23,0,0,21,4,0,0,0,0,1,0,0,1,4.5,0,17,1,6,11,1,0,0,1,0,1.0,0.6114,0
24,0,0,8,1,0,0,0,0,0,0,0,0,8.0,0,8,8,6,2,1,0,0,0,0,0.0,0.0,0
25,0,0,30,6,3,0,0,0,0,0,0,3,4.166666666666667,0,21,2,8,13,2,2,1,0,0,-0.2,0.1838,0
26,0,0,21,5,0,0,0,0,1,0,0,1,3.4,0,16,4,5,11,3,0,1,1,0,0.0,0.0,0
27,0,0,18,3,0,0,0,0,0,0,0,0,5.333333333333333,0,16,1,5,11,1,1,0,0,0,0.5,0.6369,0
28,0,0,9,2,0,0,0,0,0,0,0,0,4.0,0,6,1,4,2,2,0,0,0,0,0.5,0.4588,0
29,0,0,18,4,0,1,0,0,0,0,0,1,3.75,0,14,1,7,7,1,1,1,0,0,0.0,0.3612,0
30,0,0,8,2,0,0,0,0,1,0,0,1,3.5,0,6,1,2,4,1,0,0,0,0,0.0,0.0,0
